Produkt ID,Produktname,Produkt Haupt-Bild,Produktdetails Seite Link,Produkt Preis (Stückpreis),Kommission,Link zum Produktstandard,Gutschein-Standardlink,Kurzlink zum Produkt,Gutschein Kurzlink
1067662,Lange U-förmig Servohalterung PTZ Roboter-Manipulator DIY Roboterhalterung,https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/60/61/a6d7fa02-892c-4f61-8d12-919a8ad315b8.jpg,https://de.banggood.com/Lange-U-frmig-Servohalterung-PTZ-Roboter-Manipulator-DIY-Roboterhalterung-reviews-p1067662.html,"8,08€",€ 0.81,https://de.banggood.com/Long-U-Shaped-Servo-Bracket-PTZ-Robotic-Manipulator-DIY-Robot-Mount-p-1067662.html?p=4T181370308054202203,,https://de.banggood.com/custlink/K3KJrbbNjL,
1074870,JX Servo PDI-HV2060MG 60 kg High Torque 180° Digitalservo für RC-Modelle,https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/34/CB/e4e9df5b-0975-453a-a24d-56847f778bde.jpg,https://de.banggood.com/JX-Servo-PDI-HV2060MG-60-kg-High-Torque-180-Digitalservo-fr-RC-Modelle-reviews-p1074870.html,"64,78€",€ 4.53,https://de.banggood.com/JX-Servo-PDI-HV2060MG-60KG-High-Torque-180-Digital-Servo-for-RC-Model-p-1074870.html?p=4T181370308054202203,,https://de.banggood.com/custlink/3KGppnsba0,
1075298,JX PDI-1171MG 17 g Metal Gear Core Motor Micro Digital Servo für RC-Modelle,https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/7A/0A/fb11e0ff-9bb8-4e29-b2dd-41bb92ace746.jpg,https://de.banggood.com/JX-PDI-1171MG-17-g-Metal-Gear-Core-Motor-Micro-Digital-Servo-fr-RC-Modelle-reviews-p1075298.html,"11,51€",€ 0.80,https://de.banggood.com/JX-PDI-1171MG-17g-Metal-Gear-Core-Motor-Micro-Digital-Servo-for-RC-Models-p-1075298.html?p=4T181370308054202203,,https://de.banggood.com/custlink/DG3cpnAboA,
1128411,"Multifunktions 1,2 mm Servohalterung PTZ Robotermanipulator DIY Roboterhalterung",https://imgaz3.staticbg.com/thumb/gallery/oaupload/banggood/images/E7/AF/5875f9c9-5dbb-4fc5-a9ff-8a1d44cc7ffc.JPG,"https://de.banggood.com/Multifunktions-1,2-mm-Servohalterung-PTZ-Robotermanipulator-DIY-Roboterhalterung-reviews-p1128411.html","4,67€ ~ 5,17€",€ 0.81,https://de.banggood.com/Multifunction-1_2mm-Servo-Bracket-PTZ-Robotic-Manipulator-DIY-Robot-Mount-p-1128411.html?p=4T181370308054202203,,https://de.banggood.com/custlink/3mGCrAnNlU,
1171586,25mm Metall Getriebe Motor Stütz Halterung Motor Fixed Mount ,https://imgaz.staticbg.com/thumb/gallery/oaupload/banggood/images/2D/64/397b914d-a432-4af9-8e6e-2e44daa8c037.jpg,https://de.banggood.com/25mm-Metall-Getriebe-Motor-Sttz-Halterung-Motor-Fixed-Mount--reviews-p1171586.html,"6,93€",€ 0.69,https://de.banggood.com/25mm-Metal-Gear-Motor-Support-Bracket-Motor-Fixed-Mount-p-1171586.html?p=4T181370308054202203,,https://de.banggood.com/custlink/GmGrJsnslf,
1173881,LD-2015 180 Grad 15KG Großes Drehmoment Metallgetriebe Biaxial Digital Servo für Roboter,https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/4B/77/6a0d32af-5ab3-42e0-ab71-13c49a986ae5.JPG,https://de.banggood.com/LD-2015-180-Grad-15KG-Groes-Drehmoment-Metallgetriebe-Biaxial-Digital-Servo-fr-Roboter-reviews-p1173881.html,"25,44€",€ 1.78,https://de.banggood.com/LD-2015-180-Degree-15KG-Large-Torque-Metal-Gear-Biaxial-Digital-Servo-For-Robot-p-1173881.html?p=4T181370308054202203,,https://de.banggood.com/custlink/mG3JpsNnem,
1211625,Original Futaba S3003 Standard Nylon Getriebeservo für Fernsteuerungsmodell,https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/88/5F/e99572ae-d53d-4693-90ec-eae85dfc0faa.JPG,https://de.banggood.com/Original-Futaba-S3003-Standard-Nylon-Getriebeservo-fr-Fernsteuerungsmodell-reviews-p1211625.html,"10,40€",€ 0.73,https://de.banggood.com/Genuine-Futaba-S3003-Standard-Nylon-Gear-Servo-For-Remote-Control-Model-p-1211625.html?p=4T181370308054202203,,https://de.banggood.com/custlink/DDmCrsQABE,
1228473,Servo-Tester & Spannungsanzeige 2 in 1 Servo Controller für RC Car Robot,https://imgaz1.staticbg.com/thumb/gallery/oaupload/banggood/images/A4/E3/6dfc7160-a25f-436a-b37a-162ea0915981.jpg,https://de.banggood.com/Servo-Tester-and-Spannungsanzeige-2-in-1-Servo-Controller-fr-RC-Car-Robot-reviews-p1228473.html,"15,03€",€ 1.05,https://de.banggood.com/Servo-Tester-and-Voltage-Display-2-in-1-Servo-Controller-for-RC-Car-Robot-p-1228473.html?p=4T181370308054202203,,https://de.banggood.com/custlink/DGvJrsnbeC,
1254348,DIY Selbst zusammengebautes RC Roboter-Behälter-Auto-Chassis mit Kriecher Satz,https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/D6/BF/7cda29ef-1720-48e0-ba49-502d3f8dd864.jpg,https://de.banggood.com/DIY-Selbst-zusammengebautes-RC-Roboter-Behlter-Auto-Chassis-mit-Kriecher-Satz-reviews-p1254348.html,"112,21€",€ 7.84,https://de.banggood.com/DIY-Self-assembled-RC-Robot-Tank-Car-Chassis-With-Crawler-Kit-p-1254348.html?p=4T181370308054202203,,https://de.banggood.com/custlink/GmKcrsNbBV,
1257249,DIY Smart Robot Tank Tracked Auto Tank Chassis Satz mit Crawler für,https://imgaz2.staticbg.com/thumb/gallery/oaupload/banggood/images/9D/2D/036dfb20-496f-4651-a0b8-7b9124a6c31f.jpg,https://de.banggood.com/DIY-Smart-Robot-Tank-Tracked-Auto-Tank-Chassis-Satz-mit-Crawler-fr-reviews-p1257249.html,"96,01€",€ 6.71,https://de.banggood.com/DIY-Smart-Robot-Tank-Tracked-Car-Tank-Chassis-Kit-with-Crawler-for-Arduino-p-1257249.html?p=4T181370308054202203,,https://de.banggood.com/custlink/mGGCCQnNeI,
